GenerationID ; maxFitness ; howManyWin
0 ; 128 ; 0
1 ; 1439 ; 0
2 ; 4703 ; 0
3 ; 5962 ; 0
4 ; 9204 ; 0
5 ; 15383 ; 13
5 ; 15383 ; 13
6 ; 15435 ; 74
7 ; 15436 ; 107
7 ; 15436 ; 107
8 ; 15441 ; 116
9 ; 15441 ; 139
10 ; 15451 ; 172
11 ; 15451 ; 186
11 ; 15451 ; 186
12 ; 15451 ; 177
13 ; 15451 ; 175
14 ; 15454 ; 184
15 ; 15454 ; 187
16 ; 15454 ; 189
17 ; 15454 ; 184
18 ; 15454 ; 190
19 ; 15454 ; 184
20 ; 15454 ; 195
21 ; 15454 ; 185
22 ; 15454 ; 191
23 ; 15454 ; 192
24 ; 15454 ; 188
25 ; 15454 ; 191
26 ; 15454 ; 186
27 ; 15454 ; 186
28 ; 15454 ; 194
29 ; 15454 ; 194
30 ; 15454 ; 195
30 ; 15454 ; 195
30 ; 15454 ; 195
30 ; 15454 ; 195
30 ; 15454 ; 195
30 ; 15454 ; 195
30 ; 15454 ; 195
